,text_new,label
0,A study of noisy pittas found that birds in the tropics had smaller clutch sizes than those in more temperate environments.  ,1
1,"The eggs of pittas are slightly pointed at one end, and generally smooth (the deeply pitted eggs of the superb pitta being the exception to this). ",0
2,"The size of eggs varies by species, smaller-sized species laying smaller eggs. ",0
3,There is also some variation in egg size within a species in species with large ranges. ,0
4,"For example, the eggs of noisy pittas are smaller closer to the tropics. ",1
5,"Both parents incubate the clutch, the period between laying and hatching being between 14 and 18 days (14 to 16 being more typical). ",0
6,"The chicks usually hatch asynchronously, over several days, but in some species the hatching is synchronous. ",0
7,On hatching the Gurney's pitta parents are reported to consume the eggshells. ,0
8,This behaviour ensures that the calcium used to create the eggs is not lost. ,0
9,"It is unknown if other species do this, but it is a common behaviour among birds. ",0
10,"As with the incubation, both parents are involved in rearing the chicks. ",0
11,"The chicks of pittas are entirely altricial, hatching both naked and blind, and dependent upon their parents for warmth, food and nest sanitation. ",0
12,"Young chicks are brooded continuously, the female brooding alone in some species and sharing responsibilities with the male in others.  ",1
13,"The males and females make regular feeding trips to the chicks;  one study of Gurney's pittas found a pair made 2300 feeding visits to the nest, traveling an estimated 460 km (290 mi) over the nestling stage.  ",1
14,"Earthworms are important food items for many species, and the dominant item in the nestling diet of some. 73% of the parental visits of fairy pittas, 63% of rainbow pitta's, up to 79% of Gurney's pitta's visits involved bringing earthworms. ",0
15,"Parents can and do carry more than one item in their bills during visits; in a study of breeding fairy pittas, as many as six items were observed being brought in a single visit; less than four was more typical.  ",1
16,"When the chicks are small, prey may be broken up before being fed to the chicks,  and larger prey items like skinks and snakes are only fed to chicks who are old enough to manage them.  ",1
17,"The brilliant plumage of many pittas has resulted in considerable interest in pittas from people living within their range, scientists, aviculturists and birdwatchers, and has led to the colloquial name jewel-thrushes. ",0
18,"Such is their attractiveness that, in Borneo, even the body of a dead pitta can be a favoured toy for local children. ",0
19,"They have proven difficult to maintain and breed in captivity, requiring large amounts of space, humidity and sufficient vegetation of the right kind.  Pittas are a very popular group of birds with birdwatchers, due to the dazzling plumage of many species and the relative difficulty of seeing these retiring birds in dark forests.  ",1
20," Pittas are generally forest birds and, as such, are vulnerable to habitat loss caused by rapid deforestation.  ",1
21,"Their desirability as birdwatching targets was the subject of the book The Jewel Hunter (2013), in which the writer Chris Goodie recounted his attempt to see every species of pitta. ",1
22,They can also be difficult birds to survey and are easily overlooked.  ,1
23,"Four species are assessed to be endangered, and a further nine are listed as vulnerable by the IUCN. ",0
24,"Eight species are listed as near-threatened, and one, the Louisiade pitta, is too poorly known to be assessed and is listed as data deficient.  ",1
25,"The Gurney's pitta was not seen for 34 years between 1952 and 1986, before a small population was discovered in southern Thailand.  ",1
26,"This small population declined after its rediscovery, and, by 2000, it had reached a low of 10 pairs, and was listed as critically endangered. ",0
27,"In 2003, the species was found in Burma for the first time since 1914, and in large numbers, between nine and thirty five thousand pairs. ",0
28,"The species was considerably less threatened than thought, but it is still of considerable conservation concern, as deforestation of the habitat in Burma continues.  ",1
29,"The rapid rate of deforestation in Borneo has pushed the blue-headed pitta, considered common and secure as recently as 1996, into the list of species considered vulnerable. ",1
30,Pittas have been targeted by poachers for the illegal wild-bird trade. ,0
31,"They are not targeted because of their song, as many songbirds are, and may simply be captured as bycatch from collecting other species, and because of their attractive plumage. ",0
32,"According to some trappers, they also may end up being eaten for food.  ",1
33,"On Manus, locals report that predation by snakes, including the brown tree snake, is responsible for the rarity of the endangered superb pitta,  but the snake, the introduction of which is responsible for several extinctions of island birds across the Pacific, is native to the island, and is therefore likely a natural threat.  ",1
34,There are 42 species of pitta in three genera according to the International Ornithological Congress' (IOC) Birds of the World: Recommended English Names.  ,1
35,"The family Procellariidae is a group of seabirds that comprises the fulmarine petrels, the gadfly petrels, the prions, and the shearwaters. ",0
36,"This family is part of the bird order Procellariiformes (or tubenoses), which also includes the albatrosses, the storm petrels, and the diving petrels. ",0
37,"The procellariids are the most numerous family of tubenoses, and the most diverse. ",0
38,"They range in size from the giant petrels, which are almost as large as the albatrosses, to the prions, which are as small as the larger storm petrels. ",0
39,"They feed on fish, squid and crustacea, with many also taking fisheries discards and carrion. ",0
40,"All species are accomplished long-distance foragers, and many undertake long trans-equatorial migrations. ",0
41,"They are colonial breeders, exhibiting long-term mate fidelity and site philopatry. ",0
42,"In all species, each pair lays a single egg per breeding season. ",0
43,Their incubation times and chick-rearing periods are exceptionally long compared to other birds. ,0
44,Many procellariids have breeding populations of over several million pairs; others number fewer than 200 birds. ,0
45,"Humans have traditionally exploited several species of fulmar and shearwater (known as muttonbirds) for food, fuel, and bait, a practice that continues in a controlled fashion today. ",0
46,Several species are threatened by introduced species attacking adults and chicks in breeding colonies and by long-line fisheries. ,0
47,The family Procellariidae was introduced (as ProcellaridÃ¦) by the English zoologist William Elford Leach in a guide to the contents of the British Museum published in 1820.   ,1
48,"According to the famous DNA hybridization study into avian phylogenetic relationships by Sibley and Ahlquist, the split of the Procellariiformes into the four families occurred around 30 million years ago; a fossil bone often attributed to the order, described as the genus Tytthostonyx, has been found in rocks dating around the CretaceousâPaleogene boundary (70-60 mya), but the remains are too incomplete for placement within the Procellariiformes to be certain. The molecular evidence suggests that the storm petrels were the first to diverge from the ancestral stock, and the albatrosses next, with the procellariids and diving petrels splitting most recently. ",1
49,"Many taxonomists used to retain the diving petrels in this family also, but today their distinctiveness is considered well supported. ",0
50,"However, modern procellariid genera began to appear possibly just as early as the proposed splitting of the family, with a Rupelian (Early Oligocene) fossil from Belgium tentatively attributed to the shearwater genus Puffinus, and most modern genera were established by the Miocene. ",1
51,"Thus, a basal radiation of the Procellariiformes in the Eocene at least (as with many modern orders of birds) seems likely, especially given that significant anomalies in molecular evolution rates and patterns have been discovered in the entire family   (see also Leach's storm petrel), and molecular dates must be considered extremely tentative. ",1
52,"Eopuffinus from the Late Paleocene is sometimes placed in the Procellariidae, but even its placement in the Procellariiformes is quite doubtful. ",0
53,"Sibley and Ahlquist's taxonomy has included all the members of the Procellariiformes inside the Procellariidae and that family in an enlarged Ciconiiformes, but this change has not been widely accepted. ",0
54,"The procellariid family is usually broken up into four fairly distinct groups; the fulmarine petrels, the gadfly petrels, the prions, and the shearwaters. ",0
55,"The more traditional taxonomy of the family, particularly the split into four groups, has been challenged by recent research. ",0
56,"A 1998 study by Gary Nunn and Scott Stanley showed that the fulmarine petrels were indeed a discrete group within the family, as were the gadfly petrels in the genus ",0
57,"Pterodroma. However the two petrels in the genus Bulweria are no longer considered close to the gadfly petrels, instead being moved closer to the shearwaters in the genus Procellaria. ",1
58,"Two genera, Pseudobulweria and Lugensa, have been split from the gadfly petrel genus Pterodroma, with Pseudobulweria being phylogenetically closer to the Puffinus shearwaters than the Pterodroma gadfly petrels, and Aphrodroma (the Kerguelen petrel) possibly being closely related to the shearwaters or the fulmars. ",1
59,"The prions, according to Nunn and Stanley, were among the larger shearwater group.  ",1
60,"The Calonectris shearwaters were placed close to the two Puffinus clades (closer to the Puffinus, or small, clade) and both were distant to the Procellaria shearwaters. ",0
61,"The relationships between the genera and within the genera are still the subject of debate, with researchers lumping and splitting the species and genera within the family and arguing about the position of the genera within the family.   ",1
62,"Many of the confusing species are among the least known of all seabirds; some of them (like the Fiji petrel) have not been seen more than 10 times since their discovery by science, and others' breeding grounds are unknown (like the Heinroth's shearwater). ",0
63,"For a complete list, and notes on different taxonomies, see List of Procellariidae. ",0
64,"The largest, the giant petrels with a wingspan of 81 to 99 cm (32 to 39 in), are almost as large as albatrosses; the smallest, such as the fairy prion have a wingspan of 23 to 28 cm (9.1 to 11.0 in),  are slightly bigger than the diving petrels. ",1
65,"There are no obvious differences between the sexes, although females tend to be slighter.  ",1
66,"Like all Procellariiformes, the procellariids have a characteristic tubular nasal passage used for olfaction.  ",1
67,This ability to smell helps to locate patchily distributed prey at sea and may also help locate nesting colonies. ,0
68,"The plumage of the procellariids is usually dull, with greys, blues, blacks and browns being the usual colours, although some species have striking patterns (such as the Cape petrel). ",0
69,"Compared to an average bird, all procellariids have a high aspect ratio (meaning their wings are long and narrow) and a heavy wing loading. ",0
70,"Therefore, they must maintain a high speed in order to remain in the air. ",0
71,"Most procellariids use two techniques to do this, namely, dynamic soaring and slope soaring.  ",1
